Thread	Address	Instruction	Result
00001DC9	.text:sum+42C	mov     rsi, cs:_2_sum_1_opaque_ptr_1	
00001DC9	.text:sum+433	mov     rcx, cs:_2_sum_1_opaque_ptr_2	RCX=00005624F6EC92E0 
00001DC9	.text:sum+43A	cmp     rsi, rcx	
00001DC9	.text:sum+43D	jnz     short loc_5624F5611C3D	
00001DC9	.text:sum:loc_5624F5611C3D	mov     ecx, 0	RCX=0000000000000000 
00001DC9	.text:sum:loc_5624F5611C42	add     rdx, rcx	
00001DC9	.text:sum+44E	mov     eax, [rax]	RAX=0000000000000009 
00001DC9	.text:sum+450	mov     [rdx], eax	
00001DC9	.text:sum+452	jmp     loc_5624F561204A	
00001DC9	.text:sum:loc_5624F561204A	jmp     loc_5624F5611A54	
00001DC9	.text:sum:loc_5624F5611A54	mov     rax, [rbp+var_128]	RAX=00005624F5813016 
00001DC9	.text:sum+264	movzx   eax, byte ptr [rax]	RAX=00000000000000B7 
00001DC9	.text:sum+267	movzx   eax, al	
00001DC9	.text:sum+26A	cmp     eax, 0B2h	PF=1 
00001DC9	.text:sum+26F	jz      loc_5624F5611E82	
00001DC9	.text:sum+275	cmp     eax, 0B2h	
00001DC9	.text:sum+27A	jg      short loc_5624F5611A8C	
00001DC9	.text:sum:loc_5624F5611A8C	cmp     eax, 0F2h	CF=1 SF=1 
00001DC9	.text:sum+29A	jz      loc_5624F5611C4E	
00001DC9	.text:sum+2A0	cmp     eax, 0F9h	AF=1 
00001DC9	.text:sum+2A5	jz      loc_5624F5611F84	
00001DC9	.text:sum+2AB	cmp     eax, 0B7h	CF=0 AF=0 ZF=1 SF=0 
00001DC9	.text:sum+2B0	jz      loc_5624F5611D24	
00001DC9	.text:sum:loc_5624F5611D24	mov     rdx, [rbp+var_128]	RDX=00005624F5813016 
00001DC9	.text:sum+534	mov     rcx, cs:_2_sum_1_opaque_ptr_1	RCX=00005624F6EC9300 
00001DC9	.text:sum+53B	mov     rax, cs:_2_sum_1_opaque_ptr_2	RAX=00005624F6EC92E0 
00001DC9	.text:sum+542	cmp     rcx, rax	PF=0 ZF=0 
00001DC9	.text:sum+545	setnz   al	RAX=00005624F6EC9201 
00001DC9	.text:sum+548	movzx   ecx, al	RCX=0000000000000001 
00001DC9	.text:sum+54B	mov     rsi, cs:_2_sum_1_opaque_ptr_1	
00001DC9	.text:sum+552	mov     rax, cs:_2_sum_1_opaque_ptr_2	RAX=00005624F6EC92E0 
00001DC9	.text:sum+559	cmp     rsi, rax	
00001DC9	.text:sum+55C	setz    al	RAX=00005624F6EC9200 
00001DC9	.text:sum+55F	movzx   eax, al	RAX=0000000000000000 
00001DC9	.text:sum+562	sub     ecx, eax	
00001DC9	.text:sum+564	mov     eax, ecx	RAX=0000000000000001 
00001DC9	.text:sum+566	cdqe	
00001DC9	.text:sum+568	add     rax, rdx	RAX=00005624F5813017 PF=1 
00001DC9	.text:sum+56B	mov     [rbp+var_128], rax	
00001DC9	.text:sum+572	mov     rax, [rbp+var_128]	
00001DC9	.text:sum+579	mov     eax, [rax]	RAX=0000000000000000 
00001DC9	.text:sum+57B	test    eax, eax	ZF=1 
00001DC9	.text:sum+57D	jz      short loc_5624F5611DB4	
00001DC9	.text:sum:loc_5624F5611DB4	mov     rax, [rbp+var_130]	RAX=00007FFEB943A168 
00001DC9	.text:sum+5C4	mov     rcx, cs:_2_sum_1_opaque_ptr_1	RCX=00005624F6EC9300 
00001DC9	.text:sum+5CB	mov     rdx, cs:_2_sum_1_opaque_ptr_2	RDX=00005624F6EC92E0 
00001DC9	.text:sum+5D2	cmp     rcx, rdx	PF=0 ZF=0 
00001DC9	.text:sum+5D5	setnz   dl	RDX=00005624F6EC9201 
00001DC9	.text:sum+5D8	movzx   ecx, dl	RCX=0000000000000001 
00001DC9	.text:sum+5DB	mov     rsi, cs:_2_sum_1_opaque_ptr_1	
00001DC9	.text:sum+5E2	mov     rdx, cs:_2_sum_1_opaque_ptr_2	RDX=00005624F6EC92E0 
00001DC9	.text:sum+5E9	cmp     rsi, rdx	
00001DC9	.text:sum+5EC	setz    dl	RDX=00005624F6EC9200 
00001DC9	.text:sum+5EF	movzx   edx, dl	RDX=0000000000000000 
00001DC9	.text:sum+5F2	sub     ecx, edx	
00001DC9	.text:sum+5F4	mov     edx, ecx	RDX=0000000000000001 
00001DC9	.text:sum+5F6	movsxd  rdx, edx	
00001DC9	.text:sum+5F9	shl     rdx, 3	RDX=0000000000000008 
00001DC9	.text:sum+5FD	add     rdx, rax	RDX=00007FFEB943A170 AF=1 
00001DC9	.text:sum+600	lea     rax, [rbp+var_174]	RAX=00007FFEB943A10C 
00001DC9	.text:sum+607	mov     [rdx], rax	
00001DC9	.text:sum+60A	nop	
00001DC9	.text:sum:loc_5624F5611E02	mov     rax, [rbp+var_130]	RAX=00007FFEB943A168 
00001DC9	.text:sum+612	mov     rcx, cs:_2_sum_1_opaque_ptr_1	RCX=00005624F6EC9300 
00001DC9	.text:sum+619	mov     rdx, cs:_2_sum_1_opaque_ptr_2	RDX=00005624F6EC92E0 
00001DC9	.text:sum+620	cmp     rcx, rdx	AF=0 
00001DC9	.text:sum+623	setz    dl	RDX=00005624F6EC9200 
00001DC9	.text:sum+626	movzx   ecx, dl	RCX=0000000000000000 
00001DC9	.text:sum+629	mov     rsi, cs:_2_sum_1_opaque_ptr_1	
00001DC9	.text:sum+630	mov     rdx, cs:_2_sum_1_opaque_ptr_2	RDX=00005624F6EC92E0 
00001DC9	.text:sum+637	cmp     rsi, rdx	
00001DC9	.text:sum+63A	setnz   dl	RDX=00005624F6EC9201 
00001DC9	.text:sum+63D	movzx   edx, dl	RDX=0000000000000001 
00001DC9	.text:sum+640	add     edx, ecx	
00001DC9	.text:sum+642	movsxd  rdx, edx	
00001DC9	.text:sum+645	shl     rdx, 3	RDX=0000000000000008 
00001DC9	.text:sum+649	add     rax, rdx	RAX=00007FFEB943A170 AF=1 
00001DC9	.text:sum+64C	mov     [rbp+var_130], rax	
00001DC9	.text:sum+653	mov     rdx, [rbp+var_128]	RDX=00005624F5813017 
00001DC9	.text:sum+65A	mov     rcx, cs:_2_sum_1_opaque_ptr_1	RCX=00005624F6EC9300 
00001DC9	.text:sum+661	mov     rax, cs:_2_sum_1_opaque_ptr_2	RAX=00005624F6EC92E0 
00001DC9	.text:sum+668	cmp     rcx, rax	AF=0 
00001DC9	.text:sum+66B	jnz     short loc_5624F5611E6E	
00001DC9	.text:sum:loc_5624F5611E6E	mov     eax, 4	RAX=0000000000000004 
00001DC9	.text:sum:loc_5624F5611E73	add     rax, rdx	RAX=00005624F581301B PF=1 
00001DC9	.text:sum+67F	mov     [rbp+var_128], rax	
00001DC9	.text:sum+686	jmp     loc_5624F561204A	
