Thread	Address	Instruction	Result
0000102D	.text:sum+10B	mov     rax, [rbp+var_130]	RAX=00007FFED3F79CB0 
0000102D	.text:sum+112	mov     rdx, [rax]	RDX=00007FFED3F79C8C 
0000102D	.text:sum+115	mov     rax, [rbp+var_130]	
0000102D	.text:sum+11C	mov     edx, [rdx]	RDX=0000000000000006 
0000102D	.text:sum+11E	mov     [rax], edx	
0000102D	.text:sum+120	jmp     loc_56441410F9D9	
0000102D	.text:sum:loc_56441410F9D9	jmp     loc_56441410F794	
0000102D	.text:sum:loc_56441410F794	mov     rax, [rbp+var_128]	RAX=000056441431001C 
0000102D	.text:sum+49	movzx   eax, byte ptr [rax]	RAX=00000000000000B2 
0000102D	.text:sum+4C	movzx   eax, al	
0000102D	.text:sum+4F	cmp     eax, 0B2h	PF=1 ZF=1 
0000102D	.text:sum+54	jz      loc_56441410F933	
0000102D	.text:sum:loc_56441410F933	mov     rax, [rbp+var_128]	RAX=000056441431001C 
0000102D	.text:sum+1E8	add     rax, 1	RAX=000056441431001D ZF=0 
0000102D	.text:sum+1EC	mov     [rbp+var_128], rax	
0000102D	.text:sum+1F3	mov     rax, [rbp+var_130]	RAX=00007FFED3F79CB0 
0000102D	.text:sum+1FA	mov     ecx, [rax]	RCX=0000000000000006 
0000102D	.text:sum+1FC	mov     rax, [rbp+var_130]	
0000102D	.text:sum+203	sub     rax, 8	RAX=00007FFED3F79CA8 PF=0 AF=1 
0000102D	.text:sum+207	mov     edx, [rax]	RDX=0000000000000009 
0000102D	.text:sum+209	mov     rax, [rbp+var_130]	RAX=00007FFED3F79CB0 
0000102D	.text:sum+210	sub     rax, 8	RAX=00007FFED3F79CA8 
0000102D	.text:sum+214	add     edx, ecx	RDX=000000000000000F PF=1 AF=0 
0000102D	.text:sum+216	mov     [rax], edx	
0000102D	.text:sum+218	mov     rax, [rbp+var_130]	RAX=00007FFED3F79CB0 
0000102D	.text:sum+21F	sub     rax, 8	RAX=00007FFED3F79CA8 PF=0 AF=1 
0000102D	.text:sum+223	mov     [rbp+var_130], rax	
0000102D	.text:sum+22A	jmp     short loc_56441410F9D9	
0000102D	.text:sum:loc_56441410F9D9	jmp     loc_56441410F794	
0000102D	.text:sum:loc_56441410F794	mov     rax, [rbp+var_128]	RAX=000056441431001D 
0000102D	.text:sum+49	movzx   eax, byte ptr [rax]	RAX=000000000000007E 
0000102D	.text:sum+4C	movzx   eax, al	
0000102D	.text:sum+4F	cmp     eax, 0B2h	CF=1 PF=1 AF=0 SF=1 
0000102D	.text:sum+54	jz      loc_56441410F933	
0000102D	.text:sum+5A	cmp     eax, 0B2h	
0000102D	.text:sum+5F	jg      short loc_56441410F7CC	
0000102D	.text:sum+61	cmp     eax, 59h ; 'Y'	CF=0 PF=0 SF=0 
0000102D	.text:sum+64	jz      loc_56441410F84B	
0000102D	.text:sum+6A	cmp     eax, 7Eh ; '~'	PF=1 ZF=1 
0000102D	.text:sum+6D	jz      short loc_56441410F7EF	
0000102D	.text:sum:loc_56441410F7EF	mov     rax, [rbp+var_128]	RAX=000056441431001D 
0000102D	.text:sum+A4	add     rax, 1	RAX=000056441431001E ZF=0 
0000102D	.text:sum+A8	mov     [rbp+var_128], rax	
0000102D	.text:sum+AF	mov     rax, [rbp+var_128]	
0000102D	.text:sum+B6	mov     eax, [rax]	RAX=0000000000000008 
0000102D	.text:sum+B8	movsxd  rdx, eax	RDX=0000000000000008 
0000102D	.text:sum+BB	mov     rax, [rbp+var_130]	RAX=00007FFED3F79CA8 
0000102D	.text:sum+C2	add     rax, 8	RAX=00007FFED3F79CB0 PF=0 AF=1 
0000102D	.text:sum+C6	lea     rcx, [rbp+var_14]	RCX=00007FFED3F79DAC 
0000102D	.text:sum+CA	add     rdx, rcx	RDX=00007FFED3F79DB4 PF=1 
0000102D	.text:sum+CD	mov     [rax], rdx	
0000102D	.text:sum+D0	mov     rax, [rbp+var_130]	RAX=00007FFED3F79CA8 
0000102D	.text:sum+D7	add     rax, 8	RAX=00007FFED3F79CB0 PF=0 
0000102D	.text:sum+DB	mov     [rbp+var_130], rax	
0000102D	.text:sum+E2	mov     rax, [rbp+var_128]	RAX=000056441431001E 
0000102D	.text:sum+E9	add     rax, 4	RAX=0000564414310022 PF=1 
0000102D	.text:sum+ED	mov     [rbp+var_128], rax	
0000102D	.text:sum+F4	jmp     loc_56441410F9D9	
0000102D	.text:sum:loc_56441410F9D9	jmp     loc_56441410F794	
0000102D	.text:sum:loc_56441410F794	mov     rax, [rbp+var_128]	
0000102D	.text:sum+49	movzx   eax, byte ptr [rax]	RAX=00000000000000F2 
0000102D	.text:sum+4C	movzx   eax, al	
0000102D	.text:sum+4F	cmp     eax, 0B2h	PF=0 AF=0 
0000102D	.text:sum+54	jz      loc_56441410F933	
0000102D	.text:sum+5A	cmp     eax, 0B2h	
0000102D	.text:sum+5F	jg      short loc_56441410F7CC	
0000102D	.text:sum:loc_56441410F7CC	cmp     eax, 0F2h	PF=1 ZF=1 
0000102D	.text:sum+7F	jz      loc_56441410F877	
0000102D	.text:sum:loc_56441410F877	mov     rax, [rbp+var_128]	RAX=0000564414310022 
0000102D	.text:sum+12C	add     rax, 1	RAX=0000564414310023 PF=0 ZF=0 
0000102D	.text:sum+130	mov     [rbp+var_128], rax	
0000102D	.text:sum+137	mov     rax, [rbp+var_130]	RAX=00007FFED3F79CB0 
0000102D	.text:sum+13E	lea     rdx, [rax-8]	RDX=00007FFED3F79CA8 
0000102D	.text:sum+142	mov     rax, [rbp+var_130]	
0000102D	.text:sum+149	mov     rax, [rax]	RAX=00007FFED3F79DB4 
0000102D	.text:sum+14C	mov     edx, [rdx]	RDX=000000000000000F 
0000102D	.text:sum+14E	mov     [rax], edx	
0000102D	.text:sum+150	mov     rax, [rbp+var_130]	RAX=00007FFED3F79CB0 
0000102D	.text:sum+157	sub     rax, 10h	RAX=00007FFED3F79CA0 PF=1 
0000102D	.text:sum+15B	mov     [rbp+var_130], rax	
0000102D	.text:sum+162	jmp     loc_56441410F9D9	
0000102D	.text:sum:loc_56441410F9D9	jmp     loc_56441410F794	
0000102D	.text:sum:loc_56441410F794	mov     rax, [rbp+var_128]	RAX=0000564414310023 
0000102D	.text:sum+49	movzx   eax, byte ptr [rax]	RAX=000000000000003E 
0000102D	.text:sum+4C	movzx   eax, al	
0000102D	.text:sum+4F	cmp     eax, 0B2h	CF=1 PF=0 SF=1 
0000102D	.text:sum+54	jz      loc_56441410F933	
0000102D	.text:sum+5A	cmp     eax, 0B2h	
0000102D	.text:sum+5F	jg      short loc_56441410F7CC	
0000102D	.text:sum+61	cmp     eax, 59h ; 'Y'	
0000102D	.text:sum+64	jz      loc_56441410F84B	
0000102D	.text:sum+6A	cmp     eax, 7Eh ; '~'	PF=1 
0000102D	.text:sum+6D	jz      short loc_56441410F7EF	
0000102D	.text:sum+6F	cmp     eax, 3Eh ; '>'	CF=0 ZF=1 SF=0 
0000102D	.text:sum+72	jz      loc_56441410F9AA	
0000102D	.text:sum:loc_56441410F9AA	mov     rax, [rbp+var_128]	RAX=0000564414310023 
