Thread	Address	Instruction	Result
0000134A	.text:sub_55A94535F984+1C	mov     rax, [rbp-1B0h]	
0000134A	.text:sub_55A94535F984+23	mov     edx, [rdx]	RDX=0000000000000006 
0000134A	.text:sub_55A94535F984+25	mov     [rax], edx	
0000134A	.text:sub_55A94535F984+27	mov     rax, [rbp-1A8h]	RAX=00007FFF063C69B0 
0000134A	.text:sub_55A94535F984+2E	mov     rax, [rax]	RAX=000055A94535F8EB 
0000134A	.text:sub_55A94535F984+31	jmp     loc_55A94535F81C	
0000134A	.text:sum:loc_55A94535F81C	jmp     rax	
0000134A	.text:sub_55A94535F8EB	mov     rax, [rbp-1A8h]	RAX=00007FFF063C69B0 
0000134A	.text:sub_55A94535F8EB+7	add     rax, 8	RAX=00007FFF063C69B8 PF=1 AF=0 
0000134A	.text:sub_55A94535F8EB+B	mov     [rbp-1A8h], rax	
0000134A	.text:sub_55A94535F8EB+12	mov     rax, [rbp-1B0h]	RAX=00007FFF063C6A10 
0000134A	.text:sub_55A94535F8EB+19	mov     ecx, [rax]	RCX=0000000000000006 
0000134A	.text:sub_55A94535F8EB+1B	mov     rax, [rbp-1B0h]	
0000134A	.text:sub_55A94535F8EB+22	sub     rax, 8	RAX=00007FFF063C6A08 PF=0 AF=1 
0000134A	.text:sub_55A94535F8EB+26	mov     edx, [rax]	RDX=0000000000000009 
0000134A	.text:sub_55A94535F8EB+28	mov     rax, [rbp-1B0h]	RAX=00007FFF063C6A10 
0000134A	.text:sub_55A94535F8EB+2F	sub     rax, 8	RAX=00007FFF063C6A08 
0000134A	.text:sub_55A94535F8EB+33	add     edx, ecx	RDX=000000000000000F PF=1 AF=0 
0000134A	.text:sub_55A94535F8EB+35	mov     [rax], edx	
0000134A	.text:sub_55A94535F8EB+37	mov     rax, [rbp-1B0h]	RAX=00007FFF063C6A10 
0000134A	.text:sub_55A94535F8EB+3E	sub     rax, 8	RAX=00007FFF063C6A08 PF=0 AF=1 
0000134A	.text:sub_55A94535F8EB+42	mov     [rbp-1B0h], rax	
0000134A	.text:sub_55A94535F8EB+49	mov     rax, [rbp-1A8h]	RAX=00007FFF063C69B8 
0000134A	.text:sub_55A94535F8EB+50	mov     rax, [rax]	RAX=000055A94535F9BA 
0000134A	.text:sub_55A94535F8EB+53	jmp     loc_55A94535F81C	
0000134A	.text:sum:loc_55A94535F81C	jmp     rax	
0000134A	.text:loc_55A94535F9BA	mov     rax, [rbp-1A8h]	RAX=00007FFF063C69B8 
0000134A	.text:000055A94535F9C1	add     rax, 8	RAX=00007FFF063C69C0 PF=1 
0000134A	.text:000055A94535F9C5	mov     [rbp-1A8h], rax	
0000134A	.text:000055A94535F9CC	mov     rax, [rbp-1A8h]	
0000134A	.text:000055A94535F9D3	mov     eax, [rax]	RAX=0000000000000008 
0000134A	.text:000055A94535F9D5	movsxd  rdx, eax	RDX=0000000000000008 
0000134A	.text:000055A94535F9D8	mov     rax, [rbp-1B0h]	RAX=00007FFF063C6A08 
0000134A	.text:000055A94535F9DF	add     rax, 8	RAX=00007FFF063C6A10 PF=0 
0000134A	.text:000055A94535F9E3	lea     rcx, [rbp-14h]	RCX=00007FFF063C6B0C 
0000134A	.text:000055A94535F9E7	add     rdx, rcx	RDX=00007FFF063C6B14 PF=1 
0000134A	.text:000055A94535F9EA	mov     [rax], rdx	
0000134A	.text:000055A94535F9ED	mov     rax, [rbp-1B0h]	RAX=00007FFF063C6A08 
0000134A	.text:000055A94535F9F4	add     rax, 8	RAX=00007FFF063C6A10 PF=0 
0000134A	.text:000055A94535F9F8	mov     [rbp-1B0h], rax	
0000134A	.text:000055A94535F9FF	mov     rax, [rbp-1A8h]	RAX=00007FFF063C69C0 
0000134A	.text:000055A94535FA06	add     rax, 8	RAX=00007FFF063C69C8 AF=0 
0000134A	.text:000055A94535FA0A	mov     [rbp-1A8h], rax	
0000134A	.text:000055A94535FA11	mov     rax, [rbp-1A8h]	
0000134A	.text:000055A94535FA18	mov     rax, [rax]	RAX=000055A94535F81E 
0000134A	.text:000055A94535FA1B	jmp     loc_55A94535F81C	
0000134A	.text:sum:loc_55A94535F81C	jmp     rax	
0000134A	.text:sub_55A94535F81E	mov     rax, [rbp-1A8h]	RAX=00007FFF063C69C8 
0000134A	.text:sub_55A94535F81E+7	add     rax, 8	RAX=00007FFF063C69D0 AF=1 
0000134A	.text:sub_55A94535F81E+B	mov     [rbp-1A8h], rax	
0000134A	.text:sub_55A94535F81E+12	mov     rax, [rbp-1B0h]	RAX=00007FFF063C6A10 
0000134A	.text:sub_55A94535F81E+19	lea     rdx, [rax-8]	RDX=00007FFF063C6A08 
0000134A	.text:sub_55A94535F81E+1D	mov     rax, [rbp-1B0h]	
0000134A	.text:sub_55A94535F81E+24	mov     rax, [rax]	RAX=00007FFF063C6B14 
0000134A	.text:sub_55A94535F81E+27	mov     edx, [rdx]	RDX=000000000000000F 
0000134A	.text:sub_55A94535F81E+29	mov     [rax], edx	
0000134A	.text:sub_55A94535F81E+2B	mov     rax, [rbp-1B0h]	RAX=00007FFF063C6A10 
0000134A	.text:sub_55A94535F81E+32	sub     rax, 10h	RAX=00007FFF063C6A00 PF=1 AF=0 
0000134A	.text:sub_55A94535F81E+36	mov     [rbp-1B0h], rax	
0000134A	.text:sub_55A94535F81E+3D	mov     rax, [rbp-1A8h]	RAX=00007FFF063C69D0 
0000134A	.text:sub_55A94535F81E+44	mov     rax, [rax]	RAX=000055A94535F943 
0000134A	.text:sub_55A94535F81E+47	jmp     short loc_55A94535F81C	
0000134A	.text:sum:loc_55A94535F81C	jmp     rax	
0000134A	.text:sub_55A94535F943	mov     rax, [rbp-1A8h]	RAX=00007FFF063C69D0 
0000134A	.text:sub_55A94535F943+7	add     rax, 8	RAX=00007FFF063C69D8 
0000134A	.text:sub_55A94535F943+B	mov     [rbp-1A8h], rax	
0000134A	.text:sub_55A94535F943+12	mov     rdx, [rbp-1A8h]	RDX=00007FFF063C69D8 
0000134A	.text:sub_55A94535F943+19	mov     rax, [rbp-1A8h]	
0000134A	.text:sub_55A94535F943+20	mov     eax, [rax]	RAX=0000000000000001 
0000134A	.text:sub_55A94535F943+22	cdqe	
0000134A	.text:sub_55A94535F943+24	shl     rax, 3	RAX=0000000000000008 PF=0 
0000134A	.text:sub_55A94535F943+28	add     rax, rdx	RAX=00007FFF063C69E0 AF=1 
0000134A	.text:sub_55A94535F943+2B	mov     [rbp-1A8h], rax	
0000134A	.text:sub_55A94535F943+32	mov     rax, [rbp-1A8h]	
0000134A	.text:sub_55A94535F943+39	mov     rax, [rax]	RAX=000055A94535F9BA 
0000134A	.text:sub_55A94535F943+3C	jmp     loc_55A94535F81C	
0000134A	.text:sum:loc_55A94535F81C	jmp     rax	
0000134A	.text:loc_55A94535F9BA	mov     rax, [rbp-1A8h]	RAX=00007FFF063C69E0 
0000134A	.text:000055A94535F9C1	add     rax, 8	RAX=00007FFF063C69E8 PF=1 AF=0 
0000134A	.text:000055A94535F9C5	mov     [rbp-1A8h], rax	
0000134A	.text:000055A94535F9CC	mov     rax, [rbp-1A8h]	
0000134A	.text:000055A94535F9D3	mov     eax, [rax]	RAX=0000000000000008 
0000134A	.text:000055A94535F9D5	movsxd  rdx, eax	RDX=0000000000000008 
0000134A	.text:000055A94535F9D8	mov     rax, [rbp-1B0h]	RAX=00007FFF063C6A00 
0000134A	.text:000055A94535F9DF	add     rax, 8	RAX=00007FFF063C6A08 PF=0 
0000134A	.text:000055A94535F9E3	lea     rcx, [rbp-14h]	
0000134A	.text:000055A94535F9E7	add     rdx, rcx	RDX=00007FFF063C6B14 PF=1 AF=1 
0000134A	.text:000055A94535F9EA	mov     [rax], rdx	
