Thread	Address	Instruction	Result
000013BA	.text:sub_564775332108	mov     rax, [rbp-928h]	RAX=000056477553302D 
000013BA	.text:sub_564775332108+7	add     rax, 1	RAX=000056477553302E AF=0 
000013BA	.text:sub_564775332108+B	mov     [rbp-928h], rax	
000013BA	.text:sub_564775332108+12	mov     rax, [rbp-928h]	
000013BA	.text:sub_564775332108+19	mov     eax, [rax]	RAX=0000000000000008 
000013BA	.text:sub_564775332108+1B	movsxd  rdx, eax	RDX=0000000000000008 
000013BA	.text:sub_564775332108+1E	mov     rax, [rbp-930h]	RAX=00007FFFAFFCE218 
000013BA	.text:sub_564775332108+25	add     rax, 8	RAX=00007FFFAFFCE220 PF=0 AF=1 
000013BA	.text:sub_564775332108+29	lea     rcx, [rbp-14h]	RCX=00007FFFAFFCEB1C 
000013BA	.text:sub_564775332108+2D	add     rdx, rcx	RDX=00007FFFAFFCEB24 PF=1 
000013BA	.text:sub_564775332108+30	mov     [rax], rdx	
000013BA	.text:sub_564775332108+33	mov     rax, [rbp-930h]	RAX=00007FFFAFFCE218 
000013BA	.text:sub_564775332108+3A	add     rax, 8	RAX=00007FFFAFFCE220 PF=0 
000013BA	.text:sub_564775332108+3E	mov     [rbp-930h], rax	
000013BA	.text:sub_564775332108+45	mov     rax, [rbp-928h]	RAX=000056477553302E 
000013BA	.text:sub_564775332108+4C	add     rax, 4	RAX=0000564775533032 
000013BA	.text:sub_564775332108+50	mov     [rbp-928h], rax	
000013BA	.text:sub_564775332108+57	mov     rax, [rbp-928h]	
000013BA	.text:sub_564775332108+5E	movzx   eax, byte ptr [rax]	RAX=00000000000000F2 
000013BA	.text:sub_564775332108+61	movzx   eax, al	
000013BA	.text:sub_564775332108+64	cdqe	
000013BA	.text:sub_564775332108+66	mov     rax, [rbp+rax*8-820h]	RAX=0000564775331FAB 
000013BA	.text:sub_564775332108+6E	jmp     loc_564775331FA9	
000013BA	.text:sum:loc_564775331FA9	jmp     rax	
000013BA	.text:sub_564775331FAB	mov     rax, [rbp-928h]	RAX=0000564775533032 
000013BA	.text:sub_564775331FAB+7	add     rax, 1	RAX=0000564775533033 PF=1 AF=0 
000013BA	.text:sub_564775331FAB+B	mov     [rbp-928h], rax	
000013BA	.text:sub_564775331FAB+12	mov     rax, [rbp-930h]	RAX=00007FFFAFFCE220 
000013BA	.text:sub_564775331FAB+19	lea     rdx, [rax-8]	RDX=00007FFFAFFCE218 
000013BA	.text:sub_564775331FAB+1D	mov     rax, [rbp-930h]	
000013BA	.text:sub_564775331FAB+24	mov     rax, [rax]	RAX=00007FFFAFFCEB24 
000013BA	.text:sub_564775331FAB+27	mov     edx, [rdx]	RDX=000000000000000F 
000013BA	.text:sub_564775331FAB+29	mov     [rax], edx	
000013BA	.text:sub_564775331FAB+2B	mov     rax, [rbp-930h]	RAX=00007FFFAFFCE220 
000013BA	.text:sub_564775331FAB+32	sub     rax, 10h	RAX=00007FFFAFFCE210 PF=0 
000013BA	.text:sub_564775331FAB+36	mov     [rbp-930h], rax	
000013BA	.text:sub_564775331FAB+3D	mov     rax, [rbp-928h]	RAX=0000564775533033 
000013BA	.text:sub_564775331FAB+44	movzx   eax, byte ptr [rax]	RAX=000000000000003E 
000013BA	.text:sub_564775331FAB+47	movzx   eax, al	
000013BA	.text:sub_564775331FAB+4A	cdqe	
000013BA	.text:sub_564775331FAB+4C	mov     rax, [rbp+rax*8-820h]	RAX=000056477533217B 
000013BA	.text:sub_564775331FAB+54	jmp     short loc_564775331FA9	
000013BA	.text:sum:loc_564775331FA9	jmp     rax	
000013BA	.text:sub_56477533217B	mov     rax, [rbp-928h]	RAX=0000564775533033 
000013BA	.text:sub_56477533217B+7	add     rax, 1	RAX=0000564775533034 
000013BA	.text:sub_56477533217B+B	mov     [rbp-928h], rax	
000013BA	.text:sub_56477533217B+12	mov     rdx, [rbp-928h]	RDX=0000564775533034 
000013BA	.text:sub_56477533217B+19	mov     rax, [rbp-928h]	
000013BA	.text:sub_56477533217B+20	mov     eax, [rax]	RAX=0000000000000004 
000013BA	.text:sub_56477533217B+22	cdqe	
000013BA	.text:sub_56477533217B+24	add     rax, rdx	RAX=0000564775533038 
000013BA	.text:sub_56477533217B+27	mov     [rbp-928h], rax	
000013BA	.text:sub_56477533217B+2E	mov     rax, [rbp-928h]	
000013BA	.text:sub_56477533217B+35	movzx   eax, byte ptr [rax]	RAX=000000000000007E 
000013BA	.text:sub_56477533217B+38	movzx   eax, al	
000013BA	.text:sub_56477533217B+3B	cdqe	
000013BA	.text:sub_56477533217B+3D	mov     rax, [rbp+rax*8-820h]	RAX=0000564775332108 
000013BA	.text:sub_56477533217B+45	jmp     loc_564775331FA9	
